,average_act
6272,29.7
587,22.960927960928
1248,20.4
7036,20.1526251526252
5775,23.2539682539683
6996,21.5445665445665
4812,23.0
1989,18.2
5827,20.0793650793651
7389,19.0781440781441
6403,23.009768009768
4268,15.6105006105006
4178,19.1758241758242
301,20.7142857142857
4272,21.1538461538462
3865,21.4713064713065
4671,21.1782661782662
3772,16.7094017094017
6911,22.0818070818071
7360,21.0561660561661
3474,21.8
437,22.4725274725275
2188,16.9
7690,24.5
1962,17.4
529,19.7374847374847
7637,24.8
851,18.6874236874237
5434,14.047619047619
4677,16.0989010989011
7157,21.8864468864469
1270,25.1
3451,21.1
1628,20.032967032967
512,18.3455433455433
1782,19.6715506715507
4609,19.3467643467643
6775,18.5653235653236
5649,20.6166056166056
3605,21.007326007326
5759,21.5934065934066
6307,22.3
6303,23.1
991,14.4
2533,20.7142857142857
5628,23.1807081807082
7726,22.5
1326,26.5
6623,21.4713064713065
6808,18.1501831501831
6976,16.978021978022
4564,21.2026862026862
2459,22.9365079365079
5078,19.0
2731,20.1
5280,22.0
2875,20.5
4973,21.0
6195,18.6
7430,24.9145299145299
7427,20.3235653235653
1578,20.0989010989011
2882,18.7
4297,16.5873015873016
5705,22.032967032967
5590,22.1062271062271
5745,19.2490842490842
6816,19.6153846153846
1857,21.4
6665,22.6190476190476
812,19.2979242979243
3536,16.2698412698413
7422,21.3736263736264
5227,21.0
921,22.5
5149,22.0
2250,21.7
377,19.5909645909646
5917,21.5934065934066
4076,15.8302808302808
2402,24.3772893772894
510,19.8840048840049
1763,20.98778998779
3434,23.5
3549,21.031746031746
4114,15.3174603174603
5202,20.0
5721,22.1550671550672
6668,20.7387057387057
5057,22.0
3095,19.7
2926,20.1
4158,16.4163614163614
6085,19.3
3350,22.8
1617,20.0598290598291
7228,16.7338217338217
2501,21.1294261294261
7159,21.4224664224664
7581,22.9
6759,23.7912087912088
2365,20.8363858363858
1329,18.9
7454,24.2063492063492
3607,17.2222222222222
6332,20.5677655677656
6136,18.4
7485,23.4737484737485
6915,16.4407814407814
6585,20.030525030525
5924,20.8119658119658
4345,19.4688644688645
5621,16.5628815628816
7128,19.8840048840049
3685,21.1782661782662
1322,19.9
3880,21.7887667887668
6320,21.6910866910867
5237,21.0
3021,18.6
6902,17.3687423687424
7149,18.9316239316239
5217,21.0
3180,19.2
2885,19.7
6974,20.0549450549451
354,20.8852258852259
884,18.2
2166,16.9
3563,16.5873015873016
1493,20.7118437118437
2902,22.1
4971,21.0
557,17.002442002442
782,18.1501831501831
5572,19.1025641025641
3565,21.007326007326
1511,23.0854700854701
134,18.2967032967033
5986,21.007326007326
6282,20.8
3578,20.1770451770452
2667,19.7
3276,23.0
4592,16.4407814407814
6586,25.5006105006105
5906,21.0805860805861
1698,19.5543345543346
6945,19.8595848595849
1854,20.3
1917,15.3
19,19.1831501831502
5825,17.3443223443223
4164,17.5641025641026
299,17.6617826617827
6141,19.3
2760,20.7
7911,22.2
4641,16.5873015873016
3822,21.2271062271062
719,18.8583638583639
7432,22.3992673992674
1392,20.0
7956,18.4
5525,21.031746031746
3086,18.4
7591,21.2
4970,21.0
1896,18.5
3240,20.5
44,22.5457875457875
6443,21.7643467643468
6953,22.3504273504273
4464,21.6666666666667
1137,21.9
639,18.7362637362637
5651,19.9328449328449
22,18.7704517704518
900,20.7
1331,17.0
330,17.6862026862027
2869,17.7
6907,24.7191697191697
5039,21.0
2898,20.6
4825,22.0
4892,23.0
4384,19.2002442002442
2034,18.9
1719,19.9010989010989
4,18.2454212454212
6475,19.7863247863248
6981,21.8131868131868
1536,18.7460317460317
183,17.1489621489621
6815,18.1013431013431
2121,18.0
5671,24.5482295482295
1859,19.5
1690,20.1965811965812
6709,19.4200244200244
7207,21.3003663003663
5331,21.0
1794,20.010989010989
6576,21.5445665445665
7120,21.0805860805861
3495,21.6
1340,17.3
4168,18.028083028083
1297,23.0
2889,20.1
762,17.6862026862027
5865,21.5445665445665
495,19.3223443223443
4401,17.3443223443223
5369,25.0
6206,17.7
6600,15.6593406593407
2634,14.8
5995,20.4
6780,19.981684981685
6788,20.6410256410256
1087,18.5
3409,22.2
6667,22.3015873015873
3278,20.6
1397,16.5
7188,20.4212454212454
5652,21.8864468864469
7330,21.2759462759463
6040,16.1
493,17.8327228327228
6011,14.7
3573,14.4871794871795
5101,24.0
7649,22.5
1253,18.6
3949,15.5860805860806
4145,18.5897435897436
2891,20.3
3507,21.1
4184,18.9072039072039
1189,20.8
5576,21.031746031746
4736,18.0
4704,20.0
7929,21.7
2932,19.7
107,22.8144078144078
293,21.9352869352869
7505,23.3760683760684
954,19.4
1375,17.5
3275,22.2
1898,20.0
1140,19.8
2392,22.4725274725275
7950,19.0
349,16.9291819291819
1459,27.3687423687424
5021,20.0
5283,22.0
129,18.980463980464
6456,19.7863247863248
641,20.7631257631258
1990,19.5
2505,21.4713064713065
3737,13.5103785103785
1597,20.6776556776557
7307,20.3235653235653
7334,23.009768009768
7045,21.3980463980464
6769,19.1514041514042
3477,26.3
6367,20.9340659340659
7790,24.4
2150,18.3
787,20.030525030525
1060,14.6
112,20.1526251526252
3803,18.4188034188034
4352,25.964590964591
4299,17.2954822954823
1638,20.8803418803419
3628,19.7619047619048
1789,18.8241758241758
3194,22.0
4591,18.5409035409035
1116,22.0
479,15.1953601953602
6396,22.6923076923077
7103,19.5909645909646
1458,23.5518925518926
3935,13.6324786324786
7852,23.4
7982,22.3
5027,21.0
7535,23.4249084249084
3352,19.7
6792,22.2527472527473
1964,18.4
1044,14.9
873,19.3
4028,18.1257631257631
7679,24.2
5079,24.0
1987,19.5
1605,21.5934065934066
4017,15.7326007326007
7759,22.3
5040,21.0
2803,17.7
2222,17.3
2300,16.050061050061
1867,21.1
1514,20.3089133089133
2124,19.6
2917,18.6
5115,21.0
4787,20.0
6541,21.5689865689866
2519,21.9108669108669
789,19.1514041514042
3480,14.2
5469,20.5921855921856
4720,25.0
4023,14.8290598290598
2412,19.004884004884
5406,14.6092796092796
855,20.1770451770452
4163,18.1013431013431
451,20.3724053724054
2916,20.7
2785,13.6
7146,17.4908424908425
6823,17.8571428571429
5292,22.0
5175,20.0
5785,15.3663003663004
421,21.4468864468864
7264,19.5177045177045
2072,25.6
298,20.4212454212454
3849,18.8583638583639
23,15.6153846153846
3239,21.1
4013,16.8559218559219
2895,19.5
661,20.3479853479853
3600,17.8815628815629
4746,16.0
1308,15.5
5873,20.006105006105
4006,15.5860805860806
470,19.004884004884
7293,21.1782661782662
7667,20.5
6572,19.7863247863248
7085,21.3003663003663
685,16.8559218559219
5991,22.2771672771673
6235,20.2
7851,21.6
4045,16.7826617826618
3002,19.9
6998,20.958485958486
3381,23.4
